#{"t_start": 1701340968.9505587, "env_id": "None"}
r,l,t
-1983593.732663,2034,5825.336133
-1976371.541995,2036,5903.066764
-2021663.659161,2043,5980.787298
-2034153.177267,2046,6059.141247
-2017913.937927,2063,6137.756857
-2017278.335359,2084,6217.124299
-2218208.294191,2113,6297.727818
-2213940.294896,2108,6378.038454
-1679605.908061,2025,6455.171404
-2216253.805931,2070,6534.044496
-2217216.00103,2064,6612.79133
-1721396.577925,2028,6690.359883
-2197240.296162,2060,6769.348847
-762491.816286,2021,6846.602443
-1007631.889527,2019,6926.16177
-1015961.226461,2018,7003.279566
-2168892.860346,2068,7082.201306
-921729.80346,2029,7159.892257
-2130587.877712,2102,7240.523199
-812273.822124,2045,7318.998387
-1128407.697374,2042,7397.175535
-1061181.561945,2025,7474.647187
-2301948.135105,2095,7554.828271
-12368452.757718,6447,7794.037709
-700806.710311,694,7823.18494
-783264.949397,2135,7904.843899
-877944.726053,2033,7982.273053
-1019565.81598,2088,8061.914813
-2053923.65014,2121,8142.659708
-1601240.427405,2076,8222.039218
-1599274.289132,2100,8302.80388
-1456607.306059,2052,8381.063574
-1228139.841559,2042,8458.823416
-907113.326394,2056,8536.936862
-861182.110538,2025,8614.254453
-887738.754936,2005,8691.042063
-879149.574271,2008,8768.3554
-882802.073989,2005,8844.985835
-881025.33236,2004,8921.542632
-1243322.157676,1993,8997.936091
-907363.043838,1992,9074.229147
-893380.541296,2053,9152.7309
-933700.732913,2008,9229.673894
-1012487.78378,2039,9307.715872
-979223.762776,2008,9384.623249
-866406.380189,2013,9461.513668
-876585.134757,2009,9538.022031
-874460.954354,2024,9615.335758
-863723.357624,2016,9692.511388
-857776.859581,2032,9770.248305
-760574.455559,2085,9849.552752
-873895.244661,2033,9926.883362
-778830.901045,2071,10005.908713
-862808.826014,2019,10083.879887
-778035.075542,2031,10162.59986
-1110042.056697,1031,10203.828033
-1207125.143491,1103,10247.388692
-1141347.22343,930,10285.123411
-854040.693258,2042,10362.971429
-846123.304524,2028,10440.729147
-774993.351776,2040,10519.069764
-857834.790995,2021,10596.421147
-760918.681446,2063,10675.436063
-769758.26518,2040,10753.760889
-868753.979402,2016,10831.146109
-869735.539237,2018,10908.872344
-864063.859318,2018,10987.493608
-680627.185075,2042,11065.962776
-865274.568619,2016,11143.469119
-855277.251279,2019,11221.059267
-855126.962124,2016,11299.409767
-838222.351513,2012,11376.636223
-841583.980372,2011,11454.062596
-862849.094635,2017,11531.762831
-878895.982564,2014,11609.027134
-870084.437823,2018,11686.370655
-859906.577529,2014,11763.887569
-989565.782374,2016,11841.849813
-748011.658067,2015,11919.549704
-793868.508756,2010,11997.057528
-747997.719922,2018,12074.463644
-738110.138292,2016,12151.77724
-723874.243585,2016,12229.214681
-777264.309077,2022,12306.530442
-772092.857598,2023,12384.41408
-743681.273742,2017,12462.081023
-749560.467357,2021,12539.74619
-735641.817632,2022,12617.246112
-740377.026775,2023,12695.013777
-757489.968284,2022,12772.781583
-732941.762148,2023,12850.479306
-737085.349438,2027,12928.224682
-809753.688895,2021,13006.050421
-711816.250495,2030,13084.059582
-578134.106746,2028,13161.948725
-649370.819444,2025,13239.761861
-776372.158811,2012,13317.060939
-750754.946899,2020,13394.705437
-775320.279604,2012,13472.061365
-752339.874785,2024,13549.410548
-744718.966702,2021,13626.957038
-765577.218222,2021,13704.672537
-774492.134916,2013,13782.017081
-745639.424995,2017,13859.431787
-765040.9002,2016,13937.63122
-718331.937967,2027,14015.413052
