`,Time,x,y,z,traj_tx,traj_ty,traj_tz
125,1.25,418.4147399,-12.25170515,0.682616136,417.8095856,-12.25,0
126,1.26,418.5256525,-12.25164076,0.683003358,417.9207132,-12.25,0
127,1.27,418.6366342,-12.25157858,0.683379662,418.0319252,-12.25,0
128,1.28,418.747713,-12.25151856,0.683747757,418.1432522,-12.25,0
129,1.29,418.8589168,-12.25146029,0.684109961,418.2547246,-12.25,0
130,1.3,418.9702734,-12.25140308,0.684467988,418.3663732,-12.25,0
131,1.31,419.0818106,-12.25134608,0.684823019,418.4782289,-12.25,0
132,1.32,419.1935563,-12.25128829,0.685175975,418.5903226,-12.25,0
133,1.33,419.3055384,-12.25122869,0.685527888,418.7026849,-12.25,0
134,1.34,419.41778,-12.25116624,0.685879581,418.8153374,-12.25,0
135,1.35,419.5302866,-12.25109999,0.686230459,418.9282808,-12.25,0
136,1.36,419.6430585,-12.25102907,0.686578798,419.0415118,-12.25,0
137,1.37,419.756096,-12.25095273,0.686922285,419.1550272,-12.25,0
138,1.38,419.8693997,-12.25087036,0.687258722,419.2688244,-12.25,0
139,1.39,419.9829702,-12.25078147,0.687586562,419.3829001,-12.25,0
140,1.4,420.0968079,-12.25068572,0.687904985,419.4972504,-12.25,0
141,1.41,420.210913,-12.25058292,0.688213766,419.6118722,-12.25,0
142,1.42,420.3252856,-12.25047297,0.688513025,419.7267629,-12.25,0
143,1.43,420.4399259,-12.25035591,0.688802943,419.841918,-12.25,0
144,1.44,420.5548338,-12.25023185,0.689083619,419.9573337,-12.25,0
145,1.45,420.6700095,-12.25010095,0.689355,420.0730064,-12.25,0
146,1.46,420.7854531,-12.24996338,0.689616838,420.1889331,-12.25,0
147,1.47,420.9011647,-12.24981934,0.689868764,420.3051109,-12.25,0
148,1.48,421.0171444,-12.249669,0.690110304,420.4215373,-12.25,0
149,1.49,421.1333922,-12.24951247,0.690340908,420.5382103,-12.25,0
150,1.5,421.2499081,-12.24934986,0.690559853,420.655128,-12.25,0
151,1.51,421.3666922,-12.24918118,0.690766307,420.7722889,-12.25,0
152,1.52,421.4837444,-12.24900642,0.690959405,420.889692,-12.25,0
153,1.53,421.6010648,-12.2488255,0.691138254,421.0073364,-12.25,0
154,1.54,421.7186532,-12.24863828,0.691301969,421.1252214,-12.25,0
155,1.55,421.8365097,-12.24844462,0.691449695,421.2433469,-12.25,0
156,1.56,421.9546342,-12.24824433,0.691580636,421.3617127,-12.25,0
157,1.57,422.0730267,-12.24803723,0.691694075,421.4803189,-12.25,0
158,1.58,422.1916872,-12.24782316,0.691789388,421.5991658,-12.25,0
159,1.59,422.3106154,-12.24760199,0.691866048,421.718254,-12.25,0
