,traj_tx,traj_ty,traj_tz
2216,795.9381138,-194.9874296,-3.3152249
2217,795.8202421,-195.1081869,-3.318592357
2218,795.7021369,-195.2287043,-3.321960424
2219,795.5837988,-195.3489814,-3.325329098
2220,795.4652283,-195.4690177,-3.32869838
2221,795.3464258,-195.5888128,-3.332068268
2222,795.227392,-195.7083662,-3.335438761
2223,795.1081272,-195.8276776,-3.338809858
2224,794.9886321,-195.9467464,-3.342181559
2225,794.868907,-196.0655722,-3.345553861
2226,794.7489525,-196.1841545,-3.348926765
2227,794.6287691,-196.302493,-3.352300269
2228,794.5083573,-196.4205871,-3.355674371
2229,794.3877176,-196.5384364,-3.359049072
2230,794.2668504,-196.6560405,-3.362424369
2231,794.1457564,-196.7733989,-3.365800262
2232,794.024436,-196.8905111,-3.36917675
2233,793.9028897,-197.0073768,-3.372553832
2234,793.781118,-197.1239955,-3.375931507
2235,793.6591213,-197.2403666,-3.379309773
2236,793.5369003,-197.3564899,-3.38268863
2237,793.4144553,-197.4723648,-3.386068077
2238,793.291787,-197.5879909,-3.389448113
2239,793.1688957,-197.7033677,-3.392828736
2240,793.045782,-197.8184948,-3.396209947
2241,792.9224464,-197.9333718,-3.399591743
2242,792.7988894,-198.0479983,-3.402974125
2243,792.6751114,-198.1623737,-3.406357091
2244,792.551113,-198.2764976,-3.40974064
2245,792.4268946,-198.3903697,-3.413124772
2246,792.3024567,-198.5039894,-3.416509486
2247,792.1777999,-198.6173564,-3.419894781
2248,792.0529257,-198.7304691,-3.423280626
2249,791.9278359,-198.843326,-3.426666984
2250,791.802531,-198.9559267,-3.430053857
2251,791.6770115,-199.0682708,-3.433441243
2252,791.5512779,-199.1803578,-3.436829142
2253,791.4253307,-199.2921874,-3.440217553
2254,791.2991703,-199.403759,-3.443606476
2255,791.1727972,-199.5150725,-3.446995911
2256,791.046212,-199.6261272,-3.450385856
2257,790.9194137,-199.7369239,-3.453776312
2258,790.7924019,-199.8474634,-3.457167278
2259,790.6651771,-199.9577452,-3.460558754
2260,790.5377398,-200.0677691,-3.46395074
2261,790.4100906,-200.1775346,-3.467343235
2262,790.2822299,-200.2870415,-3.47073624
2263,790.1541584,-200.3962893,-3.474129754
2264,790.0258766,-200.5052779,-3.477523777
2265,789.8973849,-200.6140068,-3.480918308
2266,789.768684,-200.7224758,-3.484313348
2267,789.6397744,-200.8306844,-3.487708897
2268,789.5106566,-200.9386324,-3.491104953
2269,789.3813311,-201.0463194,-3.494501518
2270,789.2517985,-201.1537451,-3.497898591
2271,789.1220593,-201.2609092,-3.501296172
2272,788.9921141,-201.3678113,-3.50469426
2273,788.8619633,-201.4744511,-3.508092855
2274,788.7316075,-201.5808282,-3.511491957
2275,788.6010473,-201.6869424,-3.514891566
2276,788.4702832,-201.7927932,-3.518291682
2277,788.3393157,-201.8983804,-3.521692303
2278,788.2081453,-202.0037035,-3.525093431
2279,788.0767726,-202.1087624,-3.528495065
2280,787.9451982,-202.2135566,-3.531897205
2281,787.8134224,-202.3180857,-3.535299849
2282,787.681446,-202.4223496,-3.538702999
2283,787.5492694,-202.5263477,-3.542106654
2284,787.4168931,-202.6300798,-3.545510813
2285,787.2843178,-202.7335455,-3.548915476
2286,787.1515438,-202.8367446,-3.552320643
2287,787.0185718,-202.9396766,-3.555726313
