`,Time,traj_tx,traj_ty,traj_tz,,,
260,2.6,434.1684063,-12.25,0,,,
261,2.61,434.2948248,-12.25,0,,,
262,2.62,434.4213705,-12.25,0,,,
263,2.63,434.5480585,-12.25,0,,,
264,2.64,434.6749011,-12.25,0,,,
265,2.65,434.8018995,-12.25,0,,,
266,2.66,434.9290521,-12.25,0,,,
267,2.67,435.0563575,-12.25,0,,,
268,2.68,435.1838143,-12.25,0,,,
269,2.69,435.3114205,-12.25,0,,,
270,2.7,435.4391741,-12.25,0,,,
271,2.71,435.5670724,-12.25,0,,,
272,2.72,435.6951125,-12.25,0,,,
273,2.73,435.8232904,-12.25,0,,,
274,2.74,435.9516025,-12.25,0,,,
275,2.75,436.0800454,-12.25,0,,,
276,2.76,436.2086156,-12.25,0,,,
277,2.77,436.3373102,-12.25,0,,,
278,2.78,436.4661262,-12.25,0,,,
279,2.79,436.5950611,-12.25,0,,,
280,2.8,436.7241121,-12.25,0,,,
281,2.81,436.8532769,-12.25,0,,,
282,2.82,436.9825534,-12.25,0,,,
283,2.83,437.1119395,-12.25,0,,,
284,2.84,437.2414332,-12.25,0,,,
285,2.85,437.3710328,-12.25,0,,,
286,2.86,437.500737,-12.25,0,,,
287,2.87,437.6305443,-12.25,0,,,
288,2.88,437.7604539,-12.25,0,,,
289,2.89,437.8904647,-12.25,0,,,
290,2.9,438.0205762,-12.25,0,,,
291,2.91,438.1507877,-12.25,0,,,
292,2.92,438.2810984,-12.25,0,,,
293,2.93,438.4115065,-12.25,0,,,
294,2.94,438.5420106,-12.25,0,,,
295,2.95,438.6725958,-12.25,0,,,
296,2.96,438.8032246,-12.25,0,,,
297,2.97,438.9338589,-12.25,0,,,
298,2.98,439.0644626,-12.25,0,,,
299,2.99,439.1950136,-12.25,0,,,
300,3,439.3255126,-12.25,0,,,
301,3.01,439.4559611,-12.25,0,,,
302,3.02,439.5863593,-12.25,0,,,
303,3.03,439.716708,-12.25,0,,,
304,3.04,439.8470083,-12.25,0,,,
305,3.05,439.9772624,-12.25,0,,,
306,3.06,440.1074734,-12.25,0,,,
307,3.07,440.2376447,-12.25,0,,,
308,3.08,440.3677801,-12.25,0,,,
309,3.09,440.4978835,-12.25,0,,,
310,3.1,440.6279583,-12.25,0,,,
311,3.11,440.7580077,-12.25,0,,,
312,3.12,440.8880348,-12.25,0,,,
313,3.13,441.0180425,-12.25,0,,,
314,3.14,441.1480335,-12.25,0,,,
315,3.15,441.2780103,-12.25,0,,,
316,3.16,441.4079753,-12.25,0,,,
317,3.17,441.5379305,-12.25,0,,,
318,3.18,441.6678779,-12.25,0,,,
319,3.19,441.7978205,-12.25,0,,,
320,3.2,441.9277687,-12.25,0,,,
321,3.21,442.0577357,-12.25,0,,,
322,3.22,442.1877341,-12.25,0,,,
323,3.23,442.317776,-12.25,0,,,
324,3.24,442.4478734,-12.25,0,,,
325,3.25,442.5780383,-12.25,0,,,
326,3.26,442.7082825,-12.25,0,,,
327,3.27,442.8386178,-12.25,0,,,
328,3.28,442.9690556,-12.25,0,,,
329,3.29,443.0996058,-12.25,0,,,
330,3.3,443.2302703,-12.25,0,,,
331,3.31,443.3610479,-12.25,0,,,
332,3.32,443.4919377,-12.25,0,,,
333,3.33,443.6229388,-12.25,0,,,
334,3.34,443.7540499,-12.25,0,,,
335,3.35,443.8852696,-12.25,0,,,
336,3.36,444.016596,-12.25,0,,,
337,3.37,444.1480269,-12.25,0,,,
338,3.38,444.2795593,-12.25,0,,,
339,3.39,444.4111904,-12.25,0,,,
340,3.4,444.5429174,-12.25,0,,,
341,3.41,444.6747378,-12.25,0,,,
342,3.42,444.8066492,-12.25,0,,,
343,3.43,444.9386493,-12.25,0,,,
344,3.44,445.0707362,-12.25,0,,,
345,3.45,445.2029078,-12.25,0,,,
346,3.46,445.3351622,-12.25,0,,,
347,3.47,445.467498,-12.25,0,,,
348,3.48,445.5999135,-12.25,0,,,
349,3.49,445.7324073,-12.25,0,,,
350,3.5,445.8649784,-12.25,0,,,
351,3.51,445.9976256,-12.25,0,,,
352,3.52,446.1303481,-12.25,0,,,
353,3.53,446.2631453,-12.25,0,,,
354,3.54,446.3960165,-12.25,0,,,
355,3.55,446.5289613,-12.25,0,,,
356,3.56,446.6619794,-12.25,0,,,
357,3.57,446.7950702,-12.25,0,,,
358,3.58,446.9282326,-12.25,0,,,
359,3.59,447.0614655,-12.25,0,,,
360,3.6,447.1947612,-12.25,0,,,
361,3.61,447.3280927,-12.25,0,,,
362,3.62,447.4614306,-12.25,0,,,
363,3.63,447.5947465,-12.25,0,,,
364,3.64,447.7280199,-12.25,0,,,
365,3.65,447.8612492,-12.25,0,,,
366,3.66,447.9944358,-12.25,0,,,
367,3.67,448.12758,-12.25,0,,,
368,3.68,448.260682,-12.25,0,,,
369,3.69,448.3937428,-12.25,0,,,
370,3.7,448.5267636,-12.25,0,,,
371,3.71,448.6597467,-12.25,0,,,
372,3.72,448.7926948,-12.25,0,,,
373,3.73,448.9256108,-12.25,0,,,
374,3.74,449.0584977,-12.25,0,,,
375,3.75,449.1913582,-12.25,0,,,
376,3.76,449.3241948,-12.25,0,,,
377,3.77,449.4570098,-12.25,0,,,
378,3.78,449.5898056,-12.25,0,,,
379,3.79,449.7225843,-12.25,0,,,
380,3.8,449.8553479,-12.25,0,,,
381,3.81,449.9880981,-12.25,0,,,
382,3.82,450.1208367,-12.25,0,,,
383,3.83,450.2535652,-12.25,0,,,
384,3.84,450.3862853,-12.25,0,,,
385,3.85,450.5190046,-12.25,0,,,
386,3.86,450.6517338,-12.25,0,,,
387,3.87,450.7844837,-12.25,0,,,
388,3.88,450.9172642,-12.25,0,,,
389,3.89,451.0500855,-12.25,0,,,
390,3.9,451.1829576,-12.25,0,,,
391,3.91,451.3158902,-12.25,0,,,
392,3.92,451.4488934,-12.25,0,,,
393,3.93,451.5819766,-12.25,0,,,
394,3.94,451.715149,-12.25,0,,,
395,3.95,451.8484134,-12.25,0,,,
396,3.96,451.9817689,-12.25,0,,,
397,3.97,452.1152148,-12.25,0,,,
398,3.98,452.2487504,-12.25,0,,,
399,3.99,452.3823749,-12.25,0,,,
400,4,452.5160871,-12.25,0,,,
