,Time,tx,ty
24670,246.7,362.9498436,1133.25
24671,246.71,362.9637391,1133.25
24672,246.72,362.9776347,1133.25
24673,246.73,362.9915302,1133.25
24674,246.74,363.0054257,1133.25
24675,246.75,363.0193212,1133.25
24676,246.76,363.0332167,1133.25
24677,246.77,363.0471122,1133.25
24678,246.78,363.0610077,1133.25
24679,246.79,363.0749032,1133.25
24680,246.8,363.0887986,1133.25
24681,246.81,363.1026941,1133.25
24682,246.82,363.1165895,1133.25
24683,246.83,363.1304849,1133.25
24684,246.84,363.1443804,1133.25
24685,246.85,363.1582758,1133.25
24686,246.86,363.1721712,1133.25
24687,246.87,363.1860666,1133.25
24688,246.88,363.199962,1133.25
24689,246.89,363.2138574,1133.25
24690,246.9,363.2277527,1133.25
24691,246.91,363.2416481,1133.25
24692,246.92,363.2555434,1133.25
24693,246.93,363.2694387,1133.25
24694,246.94,363.2833341,1133.25
24695,246.95,363.2972294,1133.25
24696,246.96,363.3111247,1133.25
24697,246.97,363.32502,1133.25
24698,246.98,363.3389153,1133.25
24699,246.99,363.3528105,1133.25
24700,247,363.3667058,1133.25
24701,247.01,363.380601,1133.25
24702,247.02,363.3944963,1133.25
24703,247.03,363.4083915,1133.25
24704,247.04,363.4222867,1133.25
24705,247.05,363.4361819,1133.25
24706,247.06,363.4500771,1133.25
24707,247.07,363.4639722,1133.25
24708,247.08,363.4778674,1133.25
24709,247.09,363.4917626,1133.25
24710,247.1,363.5056577,1133.25
24711,247.11,363.5195528,1133.25
24712,247.12,363.5334479,1133.25
24713,247.13,363.547343,1133.25
24714,247.14,363.5612381,1133.25
24715,247.15,363.5751332,1133.25
24716,247.16,363.5890283,1133.25
24717,247.17,363.6029233,1133.25
24718,247.18,363.6168183,1133.25
24719,247.19,363.6307134,1133.25
24720,247.2,363.6446084,1133.25
24721,247.21,363.6585034,1133.25
24722,247.22,363.6723984,1133.25
24723,247.23,363.6862933,1133.25
24724,247.24,363.7001883,1133.25
24725,247.25,363.7140832,1133.25
24726,247.26,363.7279782,1133.25
24727,247.27,363.7418731,1133.25
24728,247.28,363.755768,1133.25
24729,247.29,363.7696629,1133.25
24730,247.3,363.7835578,1133.25
24731,247.31,363.7974526,1133.25
24732,247.32,363.8113475,1133.25
24733,247.33,363.8252423,1133.25
24734,247.34,363.8391371,1133.25
24735,247.35,363.8530319,1133.25
24736,247.36,363.8669267,1133.25
24737,247.37,363.8808215,1133.25
24738,247.38,363.8947163,1133.25
24739,247.39,363.908611,1133.25
24740,247.4,363.9225057,1133.25
24741,247.41,363.9364004,1133.25
24742,247.42,363.9502951,1133.25
24743,247.43,363.9641898,1133.25
24744,247.44,363.9780845,1133.25
24745,247.45,363.9919791,1133.25
24746,247.46,364.0058738,1133.25
24747,247.47,364.0197684,1133.25
24748,247.48,364.033663,1133.25
24749,247.49,364.0475576,1133.25
24750,247.5,364.0614521,1133.25
24751,247.51,364.0753467,1133.25
24752,247.52,364.0892412,1133.25
24753,247.53,364.1031357,1133.25
24754,247.54,364.1170302,1133.25
24755,247.55,364.1309247,1133.25
24756,247.56,364.1448192,1133.25
24757,247.57,364.1587136,1133.25
24758,247.58,364.172608,1133.25
24759,247.59,364.1865024,1133.25
24760,247.6,364.2003968,1133.25
24761,247.61,364.2142912,1133.25
24762,247.62,364.2281856,1133.25
24763,247.63,364.2420799,1133.25
24764,247.64,364.2559742,1133.25
24765,247.65,364.2698685,1133.25
24766,247.66,364.2837628,1133.25
24767,247.67,364.2976571,1133.25
24768,247.68,364.3115513,1133.25
24769,247.69,364.3254455,1133.25
24770,247.7,364.3393397,1133.25
24771,247.71,364.3532339,1133.25
24772,247.72,364.3671281,1133.25
24773,247.73,364.3810222,1133.25
24774,247.74,364.3949164,1133.25
24775,247.75,364.4088105,1133.25
24776,247.76,364.4227046,1133.25
24777,247.77,364.4365986,1133.25
24778,247.78,364.4504927,1133.25
24779,247.79,364.4643867,1133.25
24780,247.8,364.4782807,1133.25
24781,247.81,364.4921747,1133.25
24782,247.82,364.5060687,1133.25
24783,247.83,364.5199626,1133.25
24784,247.84,364.5338566,1133.25
24785,247.85,364.5477505,1133.25
24786,247.86,364.5616444,1133.25
24787,247.87,364.5755382,1133.25
24788,247.88,364.5894321,1133.25
24789,247.89,364.6033259,1133.25
24790,247.9,364.6172197,1133.25
24791,247.91,364.6311135,1133.25
24792,247.92,364.6450072,1133.25
24793,247.93,364.658901,1133.25
24794,247.94,364.6727947,1133.25
24795,247.95,364.6866884,1133.25
24796,247.96,364.700582,1133.25
24797,247.97,364.7144757,1133.25
24798,247.98,364.7283693,1133.25
24799,247.99,364.7422629,1133.25
24800,248,364.7561565,1133.25
24801,248.01,364.77005,1133.25
24802,248.02,364.7839436,1133.25
24803,248.03,364.7978371,1133.25
24804,248.04,364.8117306,1133.25
24805,248.05,364.825624,1133.25
24806,248.06,364.8395175,1133.25
24807,248.07,364.8534109,1133.25
24808,248.08,364.8673043,1133.25
24809,248.09,364.8811977,1133.25
24810,248.1,364.895091,1133.25
24811,248.11,364.9089843,1133.25
24812,248.12,364.9228776,1133.25
24813,248.13,364.9367709,1133.25
24814,248.14,364.9506641,1133.25
24815,248.15,364.9645574,1133.25
24816,248.16,364.9784506,1133.25
24817,248.17,364.9923437,1133.25
24818,248.18,365.0062369,1133.25
24819,248.19,365.02013,1133.25
24820,248.2,365.0340231,1133.25
24821,248.21,365.0479162,1133.25
24822,248.22,365.0618093,1133.25
24823,248.23,365.0757023,1133.25
24824,248.24,365.0895953,1133.25
24825,248.25,365.1034883,1133.25
24826,248.26,365.1173812,1133.25
24827,248.27,365.1312741,1133.25
24828,248.28,365.145167,1133.25
24829,248.29,365.1590599,1133.25
24830,248.3,365.1729528,1133.25
24831,248.31,365.1868456,1133.25
24832,248.32,365.2007384,1133.25
24833,248.33,365.2146311,1133.25
24834,248.34,365.2285239,1133.25
24835,248.35,365.2424166,1133.25
24836,248.36,365.2563093,1133.25
