,num,Time,traj_tx,traj_ty
827,1,8.27,43.31025171,-5.5
828,1,8.28,43.36495689,-5.5
829,1,8.29,43.41968191,-5.5
830,1,8.3,43.47442669,-5.5
831,1,8.31,43.52919115,-5.5
832,1,8.32,43.5839752,-5.5
833,1,8.33,43.63877877,-5.5
834,1,8.34,43.69360176,-5.5
835,1,8.35,43.7484441,-5.5
836,1,8.36,43.8033057,-5.5
837,1,8.37,43.85818648,-5.5
838,1,8.38,43.91308634,-5.5
839,1,8.39,43.96800521,-5.5
840,1,8.4,44.02294299,-5.5
841,1,8.41,44.07789959,-5.5
842,1,8.42,44.13287493,-5.5
843,1,8.43,44.18786892,-5.5
844,1,8.44,44.24288146,-5.5
845,1,8.45,44.29791247,-5.5
846,1,8.46,44.35296186,-5.5
847,1,8.47,44.40802952,-5.5
848,1,8.48,44.46311537,-5.5
849,1,8.49,44.51821932,-5.5
850,1,8.5,44.57334127,-5.5
851,1,8.51,44.62848112,-5.5
852,1,8.52,44.68363879,-5.5
853,1,8.53,44.73881417,-5.5
854,1,8.54,44.79400716,-5.5
855,1,8.55,44.84921768,-5.5
856,1,8.56,44.90444562,-5.5
857,1,8.57,44.95969088,-5.5
858,1,8.58,45.01495338,-5.5
859,1,8.59,45.07023299,-5.5
860,1,8.6,45.12552964,-5.5
861,1,8.61,45.18084322,-5.5
862,1,8.62,45.23617362,-5.5
863,1,8.63,45.29152076,-5.5
864,1,8.64,45.34688452,-5.5
865,1,8.65,45.40226481,-5.5
866,1,8.66,45.45766152,-5.5
867,1,8.67,45.51307455,-5.5
868,1,8.68,45.56850381,-5.5
869,1,8.69,45.62394918,-5.5
870,1,8.7,45.67941056,-5.5
871,1,8.71,45.73488785,-5.5
872,1,8.72,45.79038095,-5.5
873,1,8.73,45.84588975,-5.5
874,1,8.74,45.90141414,-5.5
875,1,8.75,45.95695402,-5.5
876,1,8.76,46.01250928,-5.5
877,1,8.77,46.06807982,-5.5
878,1,8.78,46.12366554,-5.5
879,1,8.79,46.17926631,-5.5
880,1,8.8,46.23488204,-5.5
881,1,8.81,46.29051262,-5.5
882,1,8.82,46.34615794,-5.5
883,1,8.83,46.40181789,-5.5
884,1,8.84,46.45749236,-5.5
885,1,8.85,46.51318123,-5.5
886,1,8.86,46.56888441,-5.5
887,1,8.87,46.62460177,-5.5
888,1,8.88,46.68033321,-5.5
889,1,8.89,46.73607862,-5.5
890,1,8.9,46.79183789,-5.5
891,1,8.91,46.8476109,-5.5
892,1,8.92,46.90339754,-5.5
893,1,8.93,46.9591977,-5.5
894,1,8.94,47.01501128,-5.5
895,1,8.95,47.07083815,-5.5
896,1,8.96,47.12667821,-5.5
897,1,8.97,47.18253135,-5.5
898,1,8.98,47.23839745,-5.5
899,1,8.99,47.29427641,-5.5
900,1,9,47.3501681,-5.5
901,1,9.01,47.40607242,-5.5
902,1,9.02,47.46198926,-5.5
903,1,9.03,47.5179185,-5.5
904,1,9.04,47.57386003,-5.5
905,1,9.05,47.62981375,-5.5
906,1,9.06,47.68577953,-5.5
907,1,9.07,47.74175727,-5.5
908,1,9.08,47.79774685,-5.5
909,1,9.09,47.85374816,-5.5
910,1,9.1,47.90976109,-5.5
911,1,9.11,47.96578553,-5.5
912,1,9.12,48.02182136,-5.5
913,1,9.13,48.07786848,-5.5
914,1,9.14,48.13392677,-5.5
915,1,9.15,48.18999612,-5.5
916,1,9.16,48.24607641,-5.5
917,1,9.17,48.30216754,-5.5
918,1,9.18,48.35826939,-5.5
919,1,9.19,48.41438185,-5.5
920,1,9.2,48.47050481,-5.5
921,1,9.21,48.52663816,-5.5
922,1,9.22,48.58278178,-5.5
923,1,9.23,48.63893557,-5.5
924,1,9.24,48.69509941,-5.5
925,1,9.25,48.75127319,-5.5
926,1,9.26,48.8074568,-5.5
927,1,9.27,48.86365013,-5.5
928,1,9.28,48.91985307,-5.5
929,1,9.29,48.9760655,-5.5
930,1,9.3,49.03228732,-5.5
931,1,9.31,49.08851842,-5.5
932,1,9.32,49.14475868,-5.5
933,1,9.33,49.201008,-5.5
934,1,9.34,49.25726626,-5.5
935,1,9.35,49.31353336,-5.5
936,1,9.36,49.36980919,-5.5
937,1,9.37,49.42609363,-5.5
938,1,9.38,49.48238658,-5.5
939,1,9.39,49.53868792,-5.5
940,1,9.4,49.59499756,-5.5
941,1,9.41,49.65131537,-5.5
942,1,9.42,49.70764126,-5.5
943,1,9.43,49.7639751,-5.5
944,1,9.44,49.8203168,-5.5
945,1,9.45,49.87666624,-5.5
946,1,9.46,49.93302332,-5.5
947,1,9.47,49.98938793,-5.5
948,1,9.48,50.04575996,-5.5
949,1,9.49,50.1021393,-5.5
950,1,9.5,50.15852585,-5.5
951,1,9.51,50.2149195,-5.5
952,1,9.52,50.27132015,-5.5
953,1,9.53,50.32772768,-5.5
954,1,9.54,50.384142,-5.5
955,1,9.55,50.440563,-5.5
956,1,9.56,50.49699057,-5.5
957,1,9.57,50.55342461,-5.5
958,1,9.58,50.60986501,-5.5
959,1,9.59,50.66631168,-5.5
960,1,9.6,50.7227645,-5.5
961,1,9.61,50.77922337,-5.5
962,1,9.62,50.8356882,-5.5
963,1,9.63,50.89215888,-5.5
964,1,9.64,50.9486353,-5.5
965,1,9.65,51.00511737,-5.5
966,1,9.66,51.06160498,-5.5
967,1,9.67,51.11809804,-5.5
968,1,9.68,51.17459643,-5.5
969,1,9.69,51.23110007,-5.5
970,1,9.7,51.28760885,-5.5
971,1,9.71,51.34412267,-5.5
972,1,9.72,51.40064143,-5.5
973,1,9.73,51.45716504,-5.5
974,1,9.74,51.51369339,-5.5
975,1,9.75,51.57022639,-5.5
976,1,9.76,51.62676393,-5.5
977,1,9.77,51.68330593,-5.5
978,1,9.78,51.73985228,-5.5
979,1,9.79,51.79640289,-5.5
980,1,9.8,51.85295766,-5.5
981,1,9.81,51.9095165,-5.5
982,1,9.82,51.9660793,-5.5
983,1,9.83,52.02264599,-5.5
984,1,9.84,52.07921645,-5.5
985,1,9.85,52.13579059,-5.5
986,1,9.86,52.19236833,-5.5
987,1,9.87,52.24894957,-5.5
988,1,9.88,52.30553421,-5.5
989,1,9.89,52.36212217,-5.5
990,1,9.9,52.41871335,-5.5
991,1,9.91,52.47530766,-5.5
992,1,9.92,52.531905,-5.5
993,1,9.93,52.5885053,-5.5
994,1,9.94,52.64510845,-5.5
995,1,9.95,52.70171438,-5.5
996,1,9.96,52.75832298,-5.5
997,1,9.97,52.81493417,-5.5
998,1,9.98,52.87154786,-5.5
999,1,9.99,52.92816397,-5.5
1000,1,10,52.9847824,-5.5
1001,1,10.01,53.04140307,-5.5
1002,1,10.02,53.09802589,-5.5
1003,1,10.03,53.15465078,-5.5
1004,1,10.04,53.21127764,-5.5
1005,1,10.05,53.26790641,-5.5
1006,1,10.06,53.32453698,-5.5
1007,1,10.07,53.38116927,-5.5
1008,1,10.08,53.43780321,-5.5
1009,1,10.09,53.49443871,-5.5
1010,1,10.1,53.55107568,-5.5
1011,1,10.11,53.60771404,-5.5
1012,1,10.12,53.66435372,-5.5
1013,1,10.13,53.72099462,-5.5
1014,1,10.14,53.77763668,-5.5
1015,1,10.15,53.8342798,-5.5
1016,1,10.16,53.89092391,-5.5
1017,1,10.17,53.94756893,-5.5
1018,1,10.18,54.00421478,-5.5
1019,1,10.19,54.06086138,-5.5
1020,1,10.2,54.11750866,-5.5
1021,1,10.21,54.17415653,-5.5
1022,1,10.22,54.23080493,-5.5
1023,1,10.23,54.28745378,-5.5
1024,1,10.24,54.34410299,-5.5
1025,1,10.25,54.4007525,-5.5
1026,1,10.26,54.45740223,-5.5
1027,1,10.27,54.5140521,-5.5
1028,1,10.28,54.57070205,-5.5
1029,1,10.29,54.627352,-5.5
1030,1,10.3,54.68400188,-5.5
1031,1,10.31,54.74065161,-5.5
1032,1,10.32,54.79730113,-5.5
1033,1,10.33,54.85395036,-5.5
1034,1,10.34,54.91059923,-5.5
1035,1,10.35,54.96724767,-5.5
1036,1,10.36,55.02389562,-5.5
1037,1,10.37,55.080543,-5.5
1038,1,10.38,55.13718974,-5.5
1039,1,10.39,55.19383579,-5.5
1040,1,10.4,55.25048106,-5.5
1041,1,10.41,55.3071255,-5.5
1042,1,10.42,55.36376903,-5.5
1043,1,10.43,55.4204116,-5.5
1044,1,10.44,55.47705313,-5.5
1045,1,10.45,55.53369356,-5.5
1046,1,10.46,55.59033286,-5.5
1047,1,10.47,55.64697095,-5.5
1048,1,10.48,55.70360782,-5.5
1049,1,10.49,55.76024342,-5.5
1050,1,10.5,55.81687773,-5.5
1051,1,10.51,55.87351072,-5.5
1052,1,10.52,55.93014237,-5.5
1053,1,10.53,55.98677266,-5.5
1054,1,10.54,56.04340155,-5.5
1055,1,10.55,56.10002904,-5.5
1056,1,10.56,56.15665509,-5.5
1057,1,10.57,56.21327968,-5.5
1058,1,10.58,56.26990278,-5.5
1059,1,10.59,56.32652438,-5.5
1060,1,10.6,56.38314445,-5.5
1061,1,10.61,56.43976296,-5.5
1062,1,10.62,56.49637988,-5.5
1063,1,10.63,56.5529952,-5.5
1064,1,10.64,56.60960888,-5.5
1065,1,10.65,56.6662209,-5.5
1066,1,10.66,56.72283123,-5.5
1067,1,10.67,56.77943985,-5.5
1068,1,10.68,56.83604672,-5.5
1069,1,10.69,56.89265184,-5.5
1070,1,10.7,56.94925516,-5.5
1071,1,10.71,57.00585666,-5.5
1072,1,10.72,57.06245632,-5.5
1073,1,10.73,57.11905411,-5.5
1074,1,10.74,57.17565,-5.5
1075,1,10.75,57.23224397,-5.5
1076,1,10.76,57.288836,-5.5
1077,1,10.77,57.34542605,-5.5
1078,1,10.78,57.40201411,-5.5
1079,1,10.79,57.45860015,-5.5
1080,1,10.8,57.51518414,-5.5
1081,1,10.81,57.57176606,-5.5
1082,1,10.82,57.62834589,-5.5
1083,1,10.83,57.6849236,-5.5
1084,1,10.84,57.74149917,-5.5
1085,1,10.85,57.79807258,-5.5
1086,1,10.86,57.8546438,-5.5
1087,1,10.87,57.91121281,-5.5
1088,1,10.88,57.9677796,-5.5
1089,1,10.89,58.02434413,-5.5
1090,1,10.9,58.08090639,-5.5
1091,1,10.91,58.13746636,-5.5
1092,1,10.92,58.19402401,-5.5
1093,1,10.93,58.25057932,-5.5
1094,1,10.94,58.30713228,-5.5
1095,1,10.95,58.36368286,-5.5
1096,1,10.96,58.42023104,-5.5
1097,1,10.97,58.47677681,-5.5
1098,1,10.98,58.53332014,-5.5
1099,1,10.99,58.58986102,-5.5
1100,1,11,58.64639942,-5.5
1101,1,11.01,58.70293533,-5.5
1102,1,11.02,58.75946872,-5.5
1103,1,11.03,58.81599959,-5.5
1104,1,11.04,58.8725279,-5.5
1105,1,11.05,58.92905365,-5.5
1106,1,11.06,58.98557681,-5.5
1107,1,11.07,59.04209737,-5.5
1108,1,11.08,59.0986153,-5.5
1109,1,11.09,59.1551306,-5.5
1110,1,11.1,59.21164324,-5.5
1111,1,11.11,59.2681532,-5.5
1112,1,11.12,59.32466047,-5.5
1113,1,11.13,59.38116504,-5.5
1114,1,11.14,59.43766687,-5.5
1115,1,11.15,59.49416597,-5.5
1116,1,11.16,59.5506623,-5.5
1117,1,11.17,59.60715585,-5.5
1118,1,11.18,59.66364661,-5.5
1119,1,11.19,59.72013456,-5.5
1120,1,11.2,59.77661969,-5.5
1121,1,11.21,59.83310197,-5.5
1122,1,11.22,59.88958139,-5.5
1123,1,11.23,59.94605794,-5.5
1124,1,11.24,60.00253159,-5.5
1125,1,11.25,60.05900234,-5.5
1126,1,11.26,60.11547016,-5.5
1127,1,11.27,60.17193505,-5.5
