time,ang,vel,acc,x,y,yaw,carv,alHori,roll
10.46,0.278708003,3.078907613,-9.94609149,124.9943351,-10.34455933,-0.132775011,13.78037225,1.265143569,0.007021205
10.47,0.288723021,2.979065807,-10.00901515,125.1309852,-10.36239986,-0.131990527,13.78146379,1.308864328,0.007287063
10.48,0.298738039,2.878512429,-10.08255461,125.2676629,-10.38011211,-0.131172531,13.78254772,1.352468904,0.007549458
10.49,0.308753056,2.777179375,-10.16466292,125.4043687,-10.39769171,-0.130321395,13.78362385,1.395947116,0.007808631
10.5,0.318158046,2.67511612,-10.22722575,125.5411029,-10.41513431,-0.12943748,13.78469219,1.438948465,0.008064852
10.51,0.327563036,2.572764366,-10.24369544,125.6778657,-10.4324356,-0.128521159,13.78575296,1.481176123,0.008318353
10.52,0.336968026,2.470339936,-10.24385635,125.8146575,-10.44959137,-0.127572824,13.78680613,1.522753476,0.008569293
10.53,0.346373015,2.36783272,-10.25436119,125.9514786,-10.46659744,-0.126592883,13.78785164,1.563787501,0.008817771
10.54,0.355778005,2.265287744,-10.2545253,126.0883292,-10.4834497,-0.125581741,13.78888943,1.604366795,0.009063843
10.55,0.365182995,2.162645931,-10.26794006,126.2252095,-10.50014406,-0.124539802,13.7899194,1.644560692,0.009307545
10.56,0.374587985,2.059782801,-10.29711634,126.3621199,-10.51667649,-0.123467455,13.79094145,1.684418825,0.009548912
10.57,0.383992974,1.95656892,-10.34039323,126.4990604,-10.53304299,-0.122365072,13.79195547,1.723979361,0.009787987
10.58,0.393397964,1.852880523,-10.39461583,126.6360314,-10.54923958,-0.121233008,13.79296135,1.763262668,0.010024829
10.59,0.402802954,1.748597771,-10.45538564,126.7730328,-10.56526229,-0.120071591,13.79395897,1.802280489,0.010259513
10.6,0.412177091,1.643620915,-10.52485118,126.910065,-10.58110722,-0.118881127,13.79494824,1.84104205,0.010492123
10.61,0.421551228,1.537882326,-10.60281523,127.0471279,-10.59677043,-0.1176619,13.79592904,1.879535518,0.010722754
10.62,0.430925364,1.431322009,-10.68907635,127.1842218,-10.61224807,-0.116414167,13.79690126,1.917771965,0.010951507
